text,label
"I really hated the service, a frustrating experience.",0
"I absolutely loved the show, worth every penny.",1
"I enjoyed this book, it was wonderful.",1
"This was fantastic this book, I will use it again.",1
"I enjoyed the movie, I felt satisfied.",1
"This is amazing the service, it exceeded my expectations.",1
"I enjoyed this app, it exceeded my expectations.",1
"I disliked the service, one star.",0
"I was disappointed by the game, it was the worst.",0
"This is amazing the experience, it exceeded my expectations.",1
"I absolutely hated the food, the design was bad.",0
I am very pleased with the movie it was great. :),1
"I enjoyed the food, it was great.",1
"I hated the game, it was the worst.",0
"I liked the movie, worth every penny.",1
"I was disappointed by the game, it did not meet expectations.",0
"I highly recommend the film, I felt satisfied.",1
"I did not like the experience, it was awful.",0
"I am very pleased with the food, worth every penny.",1
This is awful the movie the acting was poor. :(,0
I was impressed by the food I will use it again. :),1
"I am very pleased with the film, it was wonderful.",1
"This is amazing the film, a delightful experience.",1
"I loved the product, I felt satisfied.",1
"I am very pleased with the product, worth every penny.",1
"I absolutely loved the food, a delightful experience.",1
"I enjoyed the product, the design was perfect.",1
"I am very pleased with the movie, the design was perfect.",1
"This is awful the service, I felt cheated.",0
"I wouldn't recommend the food, I will never use it again.",0
"I disliked the food, it did not meet expectations.",0
"I really hated the game, the design was bad.",0
"I liked the show, it exceeded my expectations.",1
I was impressed by the food I felt satisfied. :),1
"This was terrible the game, it did not meet expectations.",0
"I was impressed by the food, five stars.",1
I absolutely hated the movie it did not meet expectations. :(,0
I did not like the service the design was bad. :(,0
"I enjoyed the film, a delightful experience.",1
"I absolutely loved the game, it exceeded my expectations.",1
"I was impressed by the game, worth every penny.",1
I was disappointed by this app a frustrating experience. :(,0
"This was fantastic the game, it was great.",1
"I really loved this app, worth every penny.",1
"I absolutely loved the service, it was wonderful.",1
"I highly recommend the movie, I will use it again.",1
"This is awful this app, one star.",0
I highly recommend this book I felt satisfied. :),1
"I absolutely hated this book, I will never use it again.",0
"I liked this book, it exceeded my expectations.",1
"I was disappointed by the film, it was the worst.",0
"I really hated the food, it did not meet expectations.",0
"I absolutely hated the experience, it was the worst.",0
"I liked this app, it exceeded my expectations.",1
"I absolutely hated the product, the design was bad.",0
"I was disappointed by this book, the acting was poor.",0
"I really hated this app, one star.",0
"I absolutely loved the food, it exceeded my expectations.",1
"I was disappointed by the experience, I felt cheated.",0
"This is awful the food, I felt cheated.",0
"I highly recommend the movie, it was wonderful.",1
"This is amazing the experience, it was wonderful.",1
"I really loved the movie, it was wonderful.",1
"I liked this book, it was great.",1
I liked the food worth every penny. :),1
I really hated this book it did not meet expectations. :(,0
I enjoyed the food it was wonderful. :),1
"I was impressed by the movie, it was wonderful.",1
"I really hated the product, the design was bad.",0
"I am very disappointed with the product, the acting was poor.",0
"I absolutely hated the game, I will never use it again.",0
"I liked the film, I will use it again.",1
"I absolutely loved the film, I will use it again.",1
"I enjoyed the product, it was great.",1
"This was terrible this book, I will never use it again.",0
"I liked this app, it was great.",1
"I did not like the product, the design was bad.",0
"I really loved the movie, the design was perfect.",1
"I disliked the product, one star.",0
"I disliked the product, I felt cheated.",0
I absolutely loved the show five stars. :),1
I did not like the film it was awful. :(,0
"I was impressed by this app, the design was perfect.",1
"I am very disappointed with the food, it did not meet expectations.",0
"I am very disappointed with the food, it was the worst.",0
"I liked the show, five stars.",1
"I disliked this app, not worth the money.",0
"I am very pleased with the movie, it was great.",1
"I was impressed by the food, worth every penny.",1
"I was impressed by this app, a delightful experience.",1
"This was fantastic the experience, the acting was superb.",1
"I enjoyed this app, a delightful experience.",1
"I disliked this app, I felt cheated.",0
"This was fantastic this app, it exceeded my expectations.",1
"I was impressed by the food, the acting was superb.",1
"I highly recommend the experience, a delightful experience.",1
"I hated the product, it did not meet expectations.",0
"I absolutely loved this app, the design was perfect.",1
"I highly recommend this app, it exceeded my expectations.",1
"I am very pleased with this book, a delightful experience.",1
I was disappointed by the show a frustrating experience. :(,0
"I am very pleased with the experience, I felt satisfied.",1
"I disliked this book, I will never use it again.",0
"I am very pleased with the movie, five stars.",1
"I absolutely loved the food, I felt satisfied.",1
"This was terrible the service, I will never use it again.",0
"I did not like the game, one star.",0
I really hated the show it was awful. :(,0
I was disappointed by the game not worth the money. :(,0
"I absolutely hated this app, it did not meet expectations.",0
"I wouldn't recommend this book, I felt cheated.",0
"I disliked the movie, one star.",0
I disliked this app it was the worst. :(,0
"This is amazing the movie, I felt satisfied.",1
"I am very disappointed with the show, the acting was poor.",0
"I hated the product, it did not meet expectations.",0
"I was impressed by the game, it was great.",1
"I am very disappointed with the show, the design was bad.",0
"This was fantastic the service, the acting was superb.",1
"I was disappointed by the movie, the design was bad.",0
"I was impressed by the film, I will use it again.",1
"I am very pleased with this app, it exceeded my expectations.",1
"I loved the service, worth every penny.",1
"I did not like the game, it was the worst.",0
"I really loved this app, the acting was superb.",1
"I really loved the experience, the acting was superb.",1
"I did not like this book, the acting was poor.",0
"This is awful the experience, I felt cheated.",0
"I really hated the service, one star.",0
"I am very pleased with the game, I will use it again.",1
"This was terrible the game, it was the worst.",0
"I absolutely loved the food, the acting was superb.",1
"I wouldn't recommend the product, it was awful.",0
"I hated the food, I felt cheated.",0
"I am very pleased with the service, worth every penny.",1
"This was terrible the movie, the acting was poor.",0
"I really loved this app, I will use it again.",1
"I disliked this app, one star.",0
"I wouldn't recommend the game, it was awful.",0
I highly recommend the food I will use it again. :),1
"I did not like the service, a frustrating experience.",0
I did not like the food I will never use it again. :(,0
"I really loved the service, I felt satisfied.",1
"This was fantastic the game, the acting was superb.",1
"I absolutely loved the movie, the design was perfect.",1
"This is awful the film, the acting was poor.",0
"This was terrible the movie, not worth the money.",0
"I am very pleased with the experience, worth every penny.",1
I absolutely hated this app I felt cheated. :(,0
"I loved the product, five stars.",1
I really hated the experience it did not meet expectations. :(,0
"I absolutely loved the movie, it was great.",1
"This was fantastic the product, I will use it again.",1
"I am very disappointed with the service, a frustrating experience.",0
"I loved the movie, I will use it again.",1
"I absolutely loved the experience, it was wonderful.",1
I liked the game five stars. :),1
"I am very disappointed with the game, a frustrating experience.",0
"I really hated the experience, I will never use it again.",0
This was terrible the service it was the worst. :(,0
"I loved the game, a delightful experience.",1
"I really hated the experience, not worth the money.",0
"I liked the movie, it exceeded my expectations.",1
"I really loved the experience, five stars.",1
"I wouldn't recommend the service, I felt cheated.",0
"I absolutely hated the product, it was awful.",0
"I hated the product, the acting was poor.",0
"I did not like the product, the acting was poor.",0
"I am very disappointed with the movie, not worth the money.",0
"I really hated the experience, one star.",0
This is amazing the product it was wonderful. :),1
I enjoyed this app it was wonderful. :),1
"I loved the game, five stars.",1
"I absolutely loved this book, worth every penny.",1
"I highly recommend the show, five stars.",1
"I was disappointed by this app, one star.",0
"This was terrible the game, it was awful.",0
"I am very disappointed with the service, I felt cheated.",0
"This is awful the game, the design was bad.",0
"I wouldn't recommend this book, not worth the money.",0
"I am very disappointed with the movie, one star.",0
"I really hated the experience, I will never use it again.",0
"I absolutely loved this book, the acting was superb.",1
"This was terrible the show, not worth the money.",0
"I was impressed by the movie, worth every penny.",1
"I liked the service, it was great.",1
"This was fantastic the service, five stars.",1
"I absolutely loved the service, I will use it again.",1
I am very pleased with the film the design was perfect. :),1
"I enjoyed the game, it was wonderful.",1
I am very pleased with the game it was great. :),1
"I absolutely hated the film, it did not meet expectations.",0
I really loved this book the design was perfect. :),1
I hated the movie I will never use it again. :(,0
"I disliked this app, it was awful.",0
I disliked the experience a frustrating experience. :(,0
I was disappointed by the service a frustrating experience. :(,0
"I loved the service, worth every penny.",1
I really hated this app it was awful. :(,0
"This was fantastic the service, I felt satisfied.",1
"This was fantastic the product, it exceeded my expectations.",1
"I am very pleased with the film, it exceeded my expectations.",1
"I enjoyed this app, it was wonderful.",1
"I hated the movie, I will never use it again.",0
"I wouldn't recommend the experience, the acting was poor.",0
"I am very disappointed with this book, the acting was poor.",0
I really hated the service one star. :(,0
"I wouldn't recommend this app, it did not meet expectations.",0
"I disliked the product, a frustrating experience.",0
"This was fantastic the service, worth every penny.",1
"This was terrible the film, not worth the money.",0
"I disliked the movie, I will never use it again.",0
"I absolutely hated the show, I felt cheated.",0
"I disliked this app, I will never use it again.",0
"I am very pleased with this book, five stars.",1
"This was terrible the film, not worth the money.",0
"I was disappointed by the food, not worth the money.",0
"I loved the movie, it was wonderful.",1
"I wouldn't recommend the game, one star.",0
I was disappointed by this book one star. :(,0
"I am very pleased with the movie, I felt satisfied.",1
"I did not like the movie, I felt cheated.",0
"I disliked the film, the design was bad.",0
"I am very pleased with the food, it was wonderful.",1
I really loved the game I will use it again. :),1
"This is awful the experience, it did not meet expectations.",0
"I really hated this app, the acting was poor.",0
"This was terrible the product, not worth the money.",0
I was disappointed by the movie I felt cheated. :(,0
"I did not like the experience, it was awful.",0
"I absolutely hated the experience, not worth the money.",0
"I absolutely hated the game, not worth the money.",0
I hated this book a frustrating experience. :(,0
"I enjoyed this app, the design was perfect.",1
"This was terrible the product, the design was bad.",0
I liked this book the design was perfect. :),1
"I liked the experience, a delightful experience.",1
I liked the game five stars. :),1
"I hated the food, one star.",0
"I am very disappointed with this app, the acting was poor.",0
"I did not like the movie, it did not meet expectations.",0
This was terrible the service it did not meet expectations. :(,0
"I liked this book, five stars.",1
"I disliked this app, I will never use it again.",0
"This is amazing the experience, five stars.",1
"I hated the movie, I will never use it again.",0
I enjoyed the movie I will use it again. :),1
"I am very disappointed with the experience, it did not meet expectations.",0
"This is awful this book, a frustrating experience.",0
"This is amazing the game, a delightful experience.",1
"This was fantastic the food, a delightful experience.",1
"I did not like this book, not worth the money.",0
"I absolutely loved the game, a delightful experience.",1
"I am very disappointed with the food, not worth the money.",0
This was terrible the product the design was bad. :(,0
"This was fantastic this app, it was wonderful.",1
I am very disappointed with the product it did not meet expectations. :(,0
"This is awful this app, it did not meet expectations.",0
"I loved the food, I will use it again.",1
"I loved the experience, it was wonderful.",1
"I absolutely loved this app, a delightful experience.",1
"I did not like the game, the acting was poor.",0
"I wouldn't recommend the show, it was the worst.",0
"I really loved the movie, worth every penny.",1
"I liked the service, it exceeded my expectations.",1
"This is amazing the game, it was wonderful.",1
"This is amazing this app, five stars.",1
"This was terrible the service, the design was bad.",0
"I wouldn't recommend the game, I will never use it again.",0
"I am very disappointed with the product, it was the worst.",0
"I was impressed by the experience, worth every penny.",1
"I did not like the service, it did not meet expectations.",0
"I enjoyed the film, I will use it again.",1
"This was terrible the service, one star.",0
"This is amazing this app, I felt satisfied.",1
I liked the experience I will use it again. :),1
I am very pleased with the film five stars. :),1
"I hated the movie, the design was bad.",0
"I absolutely loved the show, I felt satisfied.",1
"I was disappointed by the food, a frustrating experience.",0
I wouldn't recommend the game I will never use it again. :(,0
"This was terrible the product, I felt cheated.",0
"I disliked the service, the design was bad.",0
"I was disappointed by the food, one star.",0
"I disliked the food, it was awful.",0
"I absolutely loved this book, a delightful experience.",1
"This was terrible the service, one star.",0
"I really hated the movie, the acting was poor.",0
"I absolutely hated the experience, it was the worst.",0
"I absolutely hated the game, it was the worst.",0
"I absolutely loved the show, it exceeded my expectations.",1
"I enjoyed the film, it was wonderful.",1
I absolutely hated the film the acting was poor. :(,0
"I really loved the game, it was wonderful.",1
"I wouldn't recommend the product, I felt cheated.",0
I really loved the film worth every penny. :),1
"I liked the game, it was great.",1
"I liked this book, the acting was superb.",1
"I enjoyed the game, five stars.",1
"I loved the show, I felt satisfied.",1
"This was fantastic this app, I will use it again.",1
"I loved the game, worth every penny.",1
"I wouldn't recommend the service, a frustrating experience.",0
"I really hated the product, it was awful.",0
"I really hated this book, it was awful.",0
"I liked the show, worth every penny.",1
"I really hated the service, it did not meet expectations.",0
"I absolutely hated the food, the acting was poor.",0
"I was disappointed by the product, I will never use it again.",0
"I was impressed by the food, I will use it again.",1
I did not like the movie one star. :(,0
"I wouldn't recommend this app, the design was bad.",0
"This is amazing the show, the design was perfect.",1
"I really hated the show, it was awful.",0
"I really loved the service, it was great.",1
"I highly recommend the movie, it was great.",1
"I am very disappointed with the movie, it did not meet expectations.",0
"I absolutely hated the food, the acting was poor.",0
"I am very disappointed with the game, I felt cheated.",0
I really hated the game the design was bad. :(,0
"I really loved the movie, worth every penny.",1
"I was impressed by this app, I will use it again.",1
"I really loved the film, it exceeded my expectations.",1
"I highly recommend the experience, it was wonderful.",1
"I was disappointed by this app, one star.",0
"I loved the service, I felt satisfied.",1
"This is amazing the experience, a delightful experience.",1
I enjoyed the service five stars. :),1
"I absolutely hated the product, the design was bad.",0
I was disappointed by the movie it was the worst. :(,0
"I absolutely hated the service, it was the worst.",0
I loved the food it exceeded my expectations. :),1
"This is awful the movie, I will never use it again.",0
"I highly recommend the product, I felt satisfied.",1
I absolutely loved the game the acting was superb. :),1
"This was fantastic the product, it was wonderful.",1
I absolutely loved the movie the acting was superb. :),1
"I wouldn't recommend the product, it was awful.",0
"This was terrible the product, it was the worst.",0
"I highly recommend this book, a delightful experience.",1
I absolutely loved the movie the acting was superb. :),1
"This is amazing the movie, the design was perfect.",1
"I am very pleased with the service, five stars.",1
"I am very disappointed with the experience, I will never use it again.",0
"I absolutely loved this book, I will use it again.",1
"I was impressed by the film, worth every penny.",1
"This is awful this app, it was the worst.",0
"I hated this book, it was the worst.",0
"I really loved the game, a delightful experience.",1
"I loved the service, I felt satisfied.",1
"I absolutely loved the food, it was wonderful.",1
"I absolutely loved the film, the acting was superb.",1
This is awful the show the acting was poor. :(,0
"I am very disappointed with the movie, one star.",0
"I disliked the show, it was the worst.",0
"This is amazing the show, it was great.",1
"This was fantastic the experience, I will use it again.",1
I am very disappointed with the game it did not meet expectations. :(,0
"I was impressed by this app, it was great.",1
I disliked the experience it did not meet expectations. :(,0
"I loved the product, worth every penny.",1
"I loved this app, it was wonderful.",1
"I really loved the show, I felt satisfied.",1
"I wouldn't recommend the experience, I will never use it again.",0
I am very disappointed with this book the design was bad. :(,0
I am very disappointed with the product I felt cheated. :(,0
"This is amazing the experience, I felt satisfied.",1
"This is amazing the show, I felt satisfied.",1
"I liked the product, worth every penny.",1
"I absolutely loved this app, I will use it again.",1
"I enjoyed the movie, the design was perfect.",1
"This was terrible this book, a frustrating experience.",0
"This is amazing the experience, the design was perfect.",1
"I hated the movie, I felt cheated.",0
"This was fantastic the show, a delightful experience.",1
"I disliked the product, the acting was poor.",0
"I absolutely loved the show, a delightful experience.",1
"I did not like the experience, it did not meet expectations.",0
"I highly recommend the movie, it was wonderful.",1
"I am very disappointed with the film, it was the worst.",0
"I absolutely hated the movie, the acting was poor.",0
"I wouldn't recommend this book, the design was bad.",0
"I absolutely loved the film, it was wonderful.",1
"This was fantastic the movie, it exceeded my expectations.",1
"I loved the film, worth every penny.",1
"I did not like the service, not worth the money.",0
"I enjoyed the movie, I felt satisfied.",1
"I absolutely hated the movie, one star.",0
"This was terrible this book, a frustrating experience.",0
"This is awful the service, one star.",0
"I am very disappointed with the show, one star.",0
I hated the game a frustrating experience. :(,0
"I really loved the show, a delightful experience.",1
"I did not like the game, it was awful.",0
"I highly recommend the product, a delightful experience.",1
"I absolutely loved the food, it was great.",1
I was disappointed by the show one star. :(,0
"I am very pleased with the game, worth every penny.",1
This is amazing the movie it exceeded my expectations. :),1
"I did not like the game, I will never use it again.",0
"I really loved the experience, it exceeded my expectations.",1
"I loved the product, I will use it again.",1
"I absolutely hated the show, it was awful.",0
"This is awful this app, a frustrating experience.",0
"This was terrible the service, it was awful.",0
This was fantastic the service it was wonderful. :),1
"This was fantastic the show, I felt satisfied.",1
"This was terrible the product, I felt cheated.",0
I really hated the experience not worth the money. :(,0
"I really loved the show, it exceeded my expectations.",1
"I am very disappointed with the service, it was awful.",0
"I absolutely loved the service, five stars.",1
"I was disappointed by the show, one star.",0
"This is awful the service, I will never use it again.",0
"This was fantastic this book, the design was perfect.",1
"I absolutely loved the show, the acting was superb.",1
"I liked the movie, it was wonderful.",1
"I am very disappointed with this book, it was the worst.",0
"I was impressed by the movie, the acting was superb.",1
"I absolutely hated the game, I felt cheated.",0
"I highly recommend the food, five stars.",1
"I was impressed by the show, I felt satisfied.",1
"I enjoyed the experience, a delightful experience.",1
"I hated this app, I felt cheated.",0
"This is awful the product, not worth the money.",0
I was impressed by this app a delightful experience. :),1
"I really hated the product, not worth the money.",0
"I highly recommend this book, I will use it again.",1
"I am very pleased with the show, I will use it again.",1
"I was disappointed by the product, a frustrating experience.",0
"I highly recommend the food, it was wonderful.",1
"I am very pleased with the food, the acting was superb.",1
"This is amazing the product, worth every penny.",1
"I loved the experience, the design was perfect.",1
"I was disappointed by the experience, a frustrating experience.",0
"This is awful this book, I felt cheated.",0
This was terrible the game it did not meet expectations. :(,0
"I did not like the food, not worth the money.",0
I was impressed by this book it exceeded my expectations. :),1
"I really loved this book, the acting was superb.",1
"This was fantastic the movie, it was wonderful.",1
I am very pleased with this app I will use it again. :),1
"I was impressed by this book, it was wonderful.",1
"I liked the product, it was wonderful.",1
"I was impressed by this app, it was wonderful.",1
"I highly recommend the food, it exceeded my expectations.",1
"This was terrible the product, not worth the money.",0
"This was terrible the show, the design was bad.",0
"I loved the product, it was great.",1
"I loved this book, a delightful experience.",1
"I was disappointed by the game, a frustrating experience.",0
"I really hated the movie, it did not meet expectations.",0
"I really loved the food, worth every penny.",1
"I really loved the film, a delightful experience.",1
"I highly recommend the show, it was great.",1
"I am very disappointed with this app, the acting was poor.",0
"This is amazing this book, I felt satisfied.",1
I absolutely loved the experience I felt satisfied. :),1
I really loved this book the design was perfect. :),1
"I wouldn't recommend the game, a frustrating experience.",0
"I hated the product, a frustrating experience.",0
"I did not like the show, not worth the money.",0
"I wouldn't recommend the movie, it was awful.",0
"I am very pleased with the experience, it exceeded my expectations.",1
"I highly recommend the experience, five stars.",1
This was terrible the film one star. :(,0
"I was impressed by the show, five stars.",1
"This is awful this book, it did not meet expectations.",0
"This is amazing this book, I felt satisfied.",1
"I highly recommend the experience, I felt satisfied.",1
"I am very pleased with the show, I will use it again.",1
"I was impressed by the show, I felt satisfied.",1
"I enjoyed the product, worth every penny.",1
"I did not like the movie, I will never use it again.",0
"I absolutely loved this app, I will use it again.",1
"I wouldn't recommend the show, not worth the money.",0
"I wouldn't recommend this book, I felt cheated.",0
"This was fantastic the game, it was great.",1
"I loved the movie, a delightful experience.",1
"This was terrible the food, not worth the money.",0
"This was fantastic the service, a delightful experience.",1
"I absolutely loved the experience, a delightful experience.",1
"I am very pleased with the game, five stars.",1
"I absolutely hated the product, I felt cheated.",0
This was terrible this app not worth the money. :(,0
"I really hated the show, the design was bad.",0
This was fantastic this book it exceeded my expectations. :),1
"I was impressed by the film, a delightful experience.",1
"I enjoyed the product, it was wonderful.",1
"I did not like the experience, it was awful.",0
"I wouldn't recommend the show, the design was bad.",0
